objectcode,objectdescription,recologyid,roadwayid,roadwaydescription,cantype,cancolor,streetcorner,onstreet,fromstreet,installeddate,removeddate,latitude,longitude,globalid,objectid,point,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at
CAN-6174049,1690 OAK ST,10516174049,,,RENAISSANCE / METAL,,,,,2018/10/30 12:00:00 AM,,37.771938474,-122.447107331,bc2b373c-0b64-4c02-acb0-b084f19a97ce,2517,POINT (-122.447107331 37.771938474),Golden Gate Park,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-394064,1293 18TH ST,1051394064,,,RENAISSANCE / METAL,,,,,1988/01/01 12:00:00 AM,,37.762624447,-122.395414972,2c30f137-4742-4f1b-9f93-cbdd3f4c9005,2032,POINT (-122.395414972 37.762624447),Potrero Hill,10,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5126719,2101 POST ST,10515126719,,,RENAISSANCE / METAL,,,,,2010/07/19 12:00:00 AM,,37.784704267,-122.43648954,2f3b3d72-9a4c-4239-8544-7a149c04040e,2111,POINT (-122.43648954 37.784704267),Japantown,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5376702,111 CAMBON DRV,10515376702,,,CEMENT / CONCRETE,,,,,2012/05/09 12:00:00 AM,,37.71603,-122.4731835,c21058ad-139d-4bbc-a00a-b8707239816a,2188,POINT (-122.4731835 37.71603),Lakeshore,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6366884,1098 TURK ST,10516366884,,,BIG BELLY,,,,,2020/08/21 12:00:00 AM,,37.78115909,-122.427109183,48935ed8-0e98-4174-b354-9d187f23e414,2608,POINT (-122.427109183 37.78115909),Western Addition,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-938340,311 IRVING ST,1051938340,,,RENAISSANCE / METAL,,,,,1988/01/01 12:00:00 AM,,37.764243683,-122.461168859,65cd95de-8b5f-40b2-9090-91b067b9159e,2817,POINT (-122.461168859 37.764243683),Inner Sunset,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3830080,1202 SAN BRUNO AVE,10513830080,,,RENAISSANCE / METAL,,,,,2001/12/01 12:00:00 AM,,37.754283107,-122.404519213,eb091e45-cfc4-45a7-9a06-bed39885e897,2024,POINT (-122.404519213 37.754283107),Mission,10,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-4352852,3198 26TH ST,10514352852,,,RENAISSANCE / METAL,,,,,2005/03/01 12:00:00 AM,,37.749344422,-122.413672059,f5ae825d-38b1-4e94-bc61-b8b537f137ae,2070,POINT (-122.413672059 37.749344422),Mission,9,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6174056,1790 OAK ST,10516174056,,,RENAISSANCE / METAL,,,,,2018/11/01 12:00:00 AM,,37.771732389,-122.448746283,5af23a12-1163-4b4a-ac75-0e421c2ff2e7,2518,POINT (-122.448746283 37.771732389),Golden Gate Park,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1249275,202 MASON ST,10011249275,,,BIG BELLY,,,,,2020/06/24 12:00:00 AM,,37.785393373,-122.409496017,3757b22c-01ab-430a-96ac-4e534276d163,1598,POINT (-122.409496017 37.785393373),Tenderloin,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1183136,199 LARKIN ST,10011183136,,,BIG BELLY,,,,,2018/03/14 12:00:00 AM,,37.779494921,-122.416796098,c20523ca-b119-40b5-8782-8bbf91ee8580,1538,POINT (-122.416796098 37.779494921),Tenderloin,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1340959,2 SANSOME ST,10011340959,,,RENAISSANCE / METAL,,,,,2023/07/20 12:00:00 AM,,37.790346079,-122.400551397,a0c5bb57-dbe9-4073-b5c8-d73f7619b238,1667,POINT (-122.400551397 37.790346079),Financial District/South Beach,3,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3109501,3008 FOLSOM ST,10513109501,,,RENAISSANCE / METAL,,,,,1997/05/21 12:00:00 AM,,37.749169235,-122.413804494,5ae0bb74-4fd3-475b-bf9b-6e72148edbf4,1865,POINT (-122.413804494 37.749169235),Mission,9,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3240314,3891 CALIFORNIA ST,10513240314,,,RENAISSANCE / METAL,,,,,1998/05/06 12:00:00 AM,,37.785694902,-122.458926846,e9c4df69-9797-425a-b688-49a02ee02cb2,1881,POINT (-122.458926846 37.785694902),Presidio Heights,2,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3364726,608 POINT LOBOS AVE,10513364726,,,CEMENT / CONCRETE,,,,,1999/01/19 12:00:00 AM,,37.779868609,-122.509714754,5a6f8c7a-d578-4610-b5e6-9a510a44e82f,1915,POINT (-122.509714754 37.779868609),Outer Richmond,1,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3638368,250 SLOAT BLVD,10513638368,,,RENAISSANCE / METAL,,,,,2000/10/01 12:00:00 AM,,37.734778684,-122.474501124,31377f4b-b5ac-4eb8-b616-390d8cba7703,1964,POINT (-122.474501124 37.734778684),West of Twin Peaks,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5708730,899 HAIGHT ST,10515708730,,,BIG BELLY,,,,,2014/12/01 12:00:00 AM,,37.771259901,-122.436939709,80bb5737-f278-4899-b4c1-c77ded6c6d87,2280,POINT (-122.436939709 37.771259901),Haight Ashbury,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5706734,1800 32ND AVE,10515706734,,,RENAISSANCE / METAL,,,,,2014/12/01 12:00:00 AM,,37.753543689,-122.490373669,2600b18d-2efa-46f6-b658-53e2926fc841,2250,POINT (-122.490373669 37.753543689),Sunset/Parkside,4,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-2471928,1406 SCOTT ST,10512471928,,,CEMENT / CONCRETE,,,,,1993/04/21 12:00:00 AM,,37.78281269,-122.437642508,339c8e8c-38e4-477b-aed9-25040c2e8a01,1809,POINT (-122.437642508 37.78281269),Western Addition,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5765805,396 VALENCIA ST,10515765805,,,RENAISSANCE / METAL,,,,,2015/06/24 12:00:00 AM,,37.766659526,-122.422104155,2a818a8d-dbb4-42de-983c-542aea4f26b1,2339,POINT (-122.422104155 37.766659526),Mission,9,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6606198,405 CHURCH ST,10516606198,,,CEMENT / CONCRETE,,,,,2022/05/01 12:00:00 AM,,37.764362317,-122.428629784,7f6aa099-c756-4612-abae-742f64f3a001,2718,POINT (-122.428629784 37.764362317),Castro/Upper Market,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1294933,8 TAYLOR ST,10011294933,,,BIG BELLY,,,,,2021/09/01 12:00:00 AM,,37.782312442,-122.41045583,0cbb7729-0581-4fe2-acc5-ba85ac1e62f9,1643,POINT (-122.41045583 37.782312442),Tenderloin,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1362508,1599 STOCKTON ST,10011362508,,,BIG BELLY,,,,,2024/05/01 12:00:00 AM,,37.800357122,-122.409219917,a22f5bda-1846-45f8-b63a-096022fe6812,1682,POINT (-122.409219917 37.800357122),North Beach,3,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3371119,3290 16TH ST,10513371119,,,RENAISSANCE / METAL,,,,,1999/02/04 12:00:00 AM,,37.764691363,-122.426123863,f3fbc1d4-b3a4-4b85-abd6-c8458b615428,1925,POINT (-122.426123863 37.764691363),Mission,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1092535,308 EMBARCADERO,10011092535,,,RENAISSANCE / METAL,,,,,2014/12/01 12:00:00 AM,,37.797696992,-122.396098406,9bba3d61-edbc-41c5-8cb8-54c78c77d99b,1467,POINT (-122.396098406 37.797696992),Financial District/South Beach,3,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1111277,8 SOUTH PARK,10011111277,,,CEMENT / CONCRETE,,,,,2015/06/19 12:00:00 AM,,37.78222631,-122.393201841,5b63f737-5d30-4aa1-852f-c33063368634,1510,POINT (-122.393201841 37.78222631),Financial District/South Beach,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-2233138,790 DIAMOND ST,10512233138,,,RENAISSANCE / METAL,,,,,1992/01/21 12:00:00 AM,,37.751296011,-122.43635863,e6323214-c392-4d89-b6f8-44fd504933e9,1761,POINT (-122.43635863 37.751296011),Noe Valley,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-608091,2298 LEAVENWORTH ST,1001608091,,,RENAISSANCE / METAL,,,,,2000/01/01 12:00:00 AM,,37.802119542,-122.417928277,3164c45f-416d-4a77-9ce5-0df85b813aa1,2422,POINT (-122.417928277 37.802119542),Russian Hill,3,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-629147,2000 POLK ST,1001629147,,,BIG BELLY,,,,,2000/09/25 12:00:00 AM,,37.795125051,-122.421579631,0a21aaa3-b37e-4d7c-9133-c1a7d1adbb43,2585,POINT (-122.421579631 37.795125051),Russian Hill,3,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3000163,3048 21ST ST,10513000163,,,RENAISSANCE / METAL,,,,,1996/10/16 12:00:00 AM,,37.757274497,-122.415526557,d0e22ccb-a1de-46c4-a8a6-1daf8490786e,1853,POINT (-122.415526557 37.757274497),Mission,9,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6172688,2200 03RD ST,10516172688,,,RENAISSANCE / METAL,,,,,2018/11/12 12:00:00 AM,,37.761700342,-122.388778347,bf64fb5b-6782-4218-bd14-cdf3b7403983,2515,POINT (-122.388778347 37.761700342),Potrero Hill,10,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6310163,1298 04TH AVE,10516310163,,,RENAISSANCE / METAL,,,,,2020/01/31 12:00:00 AM,,37.764370322,-122.460942902,f045e02a-315b-4a32-ac0f-0d13916ee3bc,2590,POINT (-122.460942902 37.764370322),Inner Sunset,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6107536,1607 MC ALLISTER ST,10516107536,,,RENAISSANCE / METAL,,,,,2018/03/30 12:00:00 AM,,37.777626,-122.438628,040e9615-9a10-461c-99b2-9c4c239a48b4,2470,POINT (-122.438628 37.777626),Western Addition,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6773022,1398 18TH ST,10516773022,,,CEMENT / CONCRETE,,,,,2023/09/13 12:00:00 AM,,37.762620275,-122.396428442,b9af22a3-2e7d-4fb2-9697-c95deea8483a,2761,POINT (-122.396428442 37.762620275),Potrero Hill,10,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-2850634,2510 MARIPOSA ST,10512850634,,,RENAISSANCE / METAL,,,,,1995/08/31 12:00:00 AM,,37.763159986,-122.40850813,3d70ca28-05bc-4f4c-9b1a-b8e40880999f,1835,POINT (-122.40850813 37.763159986),Mission,9,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-2958502,1399 FUNSTON AVE,10512958502,,,CEMENT / CONCRETE,,,,,1995/12/21 12:00:00 AM,,37.762081303,-122.470519366,032f2ec4-3dd8-48ff-b17e-7db7f2371bb2,1849,POINT (-122.470519366 37.762081303),Inner Sunset,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5260047,3505 GEARY BLVD,10515260047,,,RENAISSANCE / METAL,,,,,2011/06/16 12:00:00 AM,,37.781278299,-122.456420025,ca45ad79-1ca2-4df2-9567-b95ef70779ef,2160,POINT (-122.456420025 37.781278299),Lone Mountain/USF,2,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-4265922,606 PORTOLA DRV,10514265922,,,RENAISSANCE / METAL,,,,,2004/07/01 12:00:00 AM,,37.745424,-122.452542,6f5728b2-c82a-4df6-a53f-0011a99afa91,2054,POINT (-122.452542 37.745424),West of Twin Peaks,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5706585,3650 19TH AVE,10515706585,,,BIG BELLY,,,,,2014/12/01 12:00:00 AM,,37.722030705,-122.474982877,a67b9350-df7a-43f5-b2ce-89fffffcc618,2244,POINT (-122.474982877 37.722030705),West of Twin Peaks,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6320923,3565 16TH ST,10516320923,,,RENAISSANCE / METAL,,,,,2020/03/12 12:00:00 AM,,37.764261895,-122.432402156,a692ee5a-3ec0-4a9e-ab90-7970c0331e27,2592,POINT (-122.432402156 37.764261895),Castro/Upper Market,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6471130,806 LA PLAYA ST,10516471130,,,BIG BELLY,,,,,2021/06/17 12:00:00 AM,,37.773069811,-122.510003026,3cbab736-997e-4f60-889a-7c73f559fe69,2643,POINT (-122.510003026 37.773069811),Outer Richmond,1,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6613038,6 JOHN F. SHELLEY,10516613038,,,RENAISSANCE / METAL,,,,,2022/05/14 12:00:00 AM,,37.718395119,-122.414257843,21db6b87-5b39-454d-bb9a-c5face3c25d1,2726,POINT (-122.414257843 37.718395119),McLaren Park,9,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1286806,399 02ND ST,10011286806,,,RENAISSANCE / METAL,,,,,2021/06/23 12:00:00 AM,,37.784395871,-122.395231847,15298f81-d225-4f38-9ce7-1962519f07c2,1632,POINT (-122.395231847 37.784395871),Financial District/South Beach,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1247766,798 ELLIS ST,10011247766,,,BIG BELLY,,,,,2020/06/08 12:00:00 AM,,37.784074698,-122.419269939,50b44032-133c-41b9-a75b-4343dc74f94c,1591,POINT (-122.419269939 37.784074698),Tenderloin,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1294388,3298 STEINER ST,10011294388,,,BIG BELLY,,,,,2021/08/10 12:00:00 AM,,37.799555786,-122.437657459,a9c92d9a-69ac-42a8-8ad9-d8a1e33aac03,1642,POINT (-122.437657459 37.799555786),Marina,2,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1391705,2102 GREENWICH ST,10011391705,,,RENAISSANCE / METAL,,,,,2025/05/19 12:00:00 AM,,37.799171832,-122.434382704,8ce515ed-aed3-4efa-8a45-a8e862f03f8b,1718,POINT (-122.434382704 37.799171832),Marina,2,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-2291268,3425 03RD ST,10512291268,,,RENAISSANCE / METAL,,,,,1992/04/30 12:00:00 AM,,37.745854477,-122.387062617,4d5eb6c7-1a2c-4fd1-92a9-0909af647d75,1768,POINT (-122.387062617 37.745854477),Bayview Hunters Point,10,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6479133,99 CHURCH ST,10516479133,,,BIG BELLY,,,,,2021/06/30 12:00:00 AM,,37.769555856,-122.429124401,d6774355-b2f2-42b6-b40d-894a1b996925,2645,POINT (-122.429124401 37.769555856),Hayes Valley,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6603047,2009 BURROWS ST,10516603047,,,RENAISSANCE / METAL,,,,,2022/05/01 12:00:00 AM,,37.723863755,-122.423066231,a59e02f4-7612-4556-9a48-a5a322ba931f,2711,POINT (-122.423066231 37.723863755),McLaren Park,11,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1206366,155 ELLIS ST,10011206366,,,BIG BELLY,,,,,2019/02/07 12:00:00 AM,,37.785332737,-122.408932876,862d4309-1369-415a-a639-4010296edd4f,1558,POINT (-122.408932876 37.785332737),Tenderloin,3,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1205988,98 FREMONT ST,10011205988,,,RENAISSANCE / METAL,,,,,2019/01/01 12:00:00 AM,,37.790513725,-122.396805968,5ea56149-df0b-4024-8180-fafaccabc903,1557,POINT (-122.396805968 37.790513725),Financial District/South Beach,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-2850048,2201 FULTON ST,10512850048,,,RENAISSANCE / METAL,,,,,1995/09/20 12:00:00 AM,,37.774938956,-122.453121336,28da4e95-1bb9-49fd-a620-d51106204cfc,1834,POINT (-122.453121336 37.774938956),Lone Mountain/USF,1,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3365822,4209 FULTON ST,10513365822,,,RENAISSANCE / METAL,,,,,1999/01/21 12:00:00 AM,,37.773076113,-122.472658713,8e30f595-7233-405c-89a9-3f9b936ec6f9,1916,POINT (-122.472658713 37.773076113),Golden Gate Park,1,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5245675,1800 MC ALLISTER ST,10515245675,,,RENAISSANCE / METAL,,,,,2011/05/11 12:00:00 AM,,37.777455,-122.4419535,f2767da6-e584-426d-b6c5-b1c77f38ddfe,2145,POINT (-122.4419535 37.777455),Lone Mountain/USF,2,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1059526,14 MASONIC AVE,10511059526,,,RENAISSANCE / METAL,,,,,1988/01/01 12:00:00 AM,,37.782202507,-122.447287256,a0d80365-d9aa-4de1-8efc-66a623c3e54b,1395,POINT (-122.447287256 37.782202507),Lone Mountain/USF,2,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1089150,1882 CHESTNUT ST,10011089150,,,RENAISSANCE / METAL,,,,,2014/12/01 12:00:00 AM,,37.801104978,-122.434275519,74c94415-eef0-42df-854a-cebfa4b0632e,1407,POINT (-122.434275519 37.801104978),Marina,2,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-2660348,4106 26TH ST,10512660348,,,RENAISSANCE / METAL,,,,,1994/04/12 12:00:00 AM,,37.748244554,-122.431809417,8c90b8ec-2609-4a19-8da7-10bd8e7c452a,1821,POINT (-122.431809417 37.748244554),Noe Valley,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1090448,376 MARINA BLVD,10011090448,,,CEMENT / CONCRETE,,,,,2014/12/01 12:00:00 AM,,37.806253769,-122.439406192,e1f1b4e9-3f51-4079-9316-3443d568b087,1426,POINT (-122.439406192 37.806253769),Marina,2,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3621034,3700 19TH AVE,10513621034,,,CEMENT / CONCRETE,,,,,2000/08/31 12:00:00 AM,,37.721016649,-122.475130877,85310725-1a93-44b7-a83c-8602d06b06ca,1962,POINT (-122.475130877 37.721016649),West of Twin Peaks,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-4472635,301 29TH ST,10514472635,,,RENAISSANCE / METAL,,,,,2005/12/08 12:00:00 AM,,37.743671172,-122.426795763,2a90222a-99af-4f25-a8bf-61d01844e5c7,2086,POINT (-122.426795763 37.743671172),Noe Valley,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5849054,602 MONTEREY BLVD,10515849054,,,RENAISSANCE / METAL,,,,,2016/03/23 12:00:00 AM,,37.731617831,-122.449021237,0d502b12-1268-4878-9b98-9b098089f8fc,2368,POINT (-122.449021237 37.731617831),West of Twin Peaks,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6371884,1511 MISSION ST,10516371884,,,BIG BELLY,,,,,2020/09/14 12:00:00 AM,,37.774091338,-122.417321663,718c4ddb-4f7a-48aa-b7da-d2a85d2af18c,2612,POINT (-122.417321663 37.774091338),Mission,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6523526,143 BROTHERHOOD WAY,10516523526,,,RENAISSANCE / METAL,,,,,2021/09/29 12:00:00 AM,,37.7123166,-122.466825992,fc4b8a15-8b5c-4431-a1d1-ba96b83c32e8,2679,POINT (-122.466825992 37.7123166),Oceanview/Merced/Ingleside,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1025006,8 04TH ST,10011025006,,,BIG BELLY,,,,,2012/10/01 12:00:00 AM,,37.785602778,-122.405708142,b7fc3a75-59e2-4c29-a772-e77fc47770c0,1391,POINT (-122.405708142 37.785602778),South of Market,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1375773,51 BRUTON ST,10011375773,,,RENAISSANCE / METAL,,,,,2024/10/28 12:00:00 AM,,37.819004056,-122.371836463,f7a18136-3ef7-45b9-afb5-9d03d707bc7c,1707,POINT (-122.371836463 37.819004056),Treasure Island,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5822150,10 10TH ST,10515822150,,,RENAISSANCE / METAL,,,,,2015/12/10 12:00:00 AM,,37.776293038,-122.417245781,e549c800-f719-4bf1-ba50-e1cdec550c37,2354,POINT (-122.417245781 37.776293038),South of Market,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5245667,1799 MC ALLISTER ST,10515245667,,,RENAISSANCE / METAL,,,,,2011/05/11 12:00:00 AM,,37.777221,-122.4414405,6fd6f3a9-2d18-414a-aae7-46d21d83f6a9,2144,POINT (-122.4414405 37.777221),Western Addition,2,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6172233,701 JOHN F. KENNEDY DRV,10516172233,,,RENAISSANCE / METAL,,,,,2018/10/16 12:00:00 AM,,37.77119253,-122.470769629,292273df-0334-4499-b78a-a4a3a25a684c,2503,POINT (-122.470769629 37.77119253),Golden Gate Park,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5765730,3599 TARAVAL ST,10515765730,,,RENAISSANCE / METAL,,,,,2015/06/24 12:00:00 AM,,37.74174783,-122.504518624,774b5fe6-968d-4966-b3ba-493af75738cc,2338,POINT (-122.504518624 37.74174783),Sunset/Parkside,4,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6373385,499 10TH ST,10516373385,,,BIG BELLY,,,,,2020/09/14 12:00:00 AM,,37.770436902,-122.409802762,ab7230c9-ad86-4e93-a9da-acabbdbcc239,2620,POINT (-122.409802762 37.770436902),South of Market,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6388524,701 INDIANA ST,10516388524,,,RENAISSANCE / METAL,,,,,2020/11/02 12:00:00 AM,,37.761509338,-122.391506459,9a9b8645-ac53-4751-a7e6-3f737e6d5b63,2623,POINT (-122.391506459 37.761509338),Potrero Hill,10,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1262369,299 08TH ST,10011262369,,,BIG BELLY,,,,,2020/09/14 12:00:00 AM,,37.775080569,-122.410132051,a2c2b458-240c-4f5a-8c45-ca60f112c065,1613,POINT (-122.410132051 37.775080569),South of Market,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5845334,1 13TH ST,10515845334,,,RENAISSANCE / METAL,,,,,2016/02/26 12:00:00 AM,,37.76939102,-122.411057769,45c44840-1dd4-4a7b-be22-f579e7ec252c,2363,POINT (-122.411057769 37.76939102),Mission,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-939405,892 IRVING ST,1051939405,,,RENAISSANCE / METAL,,,,,1988/01/01 12:00:00 AM,,37.764026254,-122.467233473,6ac9159d-e543-4fd9-8b6b-30f6a3d713a2,2819,POINT (-122.467233473 37.764026254),Inner Sunset,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1043280,99 01ST ST,10011043280,,,BIG BELLY,,,,,2013/05/01 12:00:00 AM,,37.789849665,-122.397644337,a436b70c-ec6b-453c-8e54-2361493d4da0,1393,POINT (-122.397644337 37.789849665),Financial District/South Beach,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5717871,265 GRAYSTONE TERRACE,10515717871,,,RENAISSANCE / METAL,,,,,2014/12/01 12:00:00 AM,,37.756979256,-122.444287225,d9d638c2-d603-4761-a64c-c9487bc0a659,2305,POINT (-122.444287225 37.756979256),Castro/Upper Market,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6172167,140 JOHN F. KENNEDY DRV,10516172167,,,RENAISSANCE / METAL,,,,,2018/10/16 12:00:00 AM,,37.771132667,-122.457716493,43c44d0e-70b7-4954-8833-967df920b2f2,2502,POINT (-122.457716493 37.771132667),Golden Gate Park,1,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3026002,2199 SAN JOSE AVE,10513026002,,,CEMENT / CONCRETE,,,,,1996/11/19 12:00:00 AM,,37.721696344,-122.445776514,c30300cc-f5a9-4654-809d-4b18988fac79,1855,POINT (-122.445776514 37.721696344),Outer Mission,11,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5709407,700 MC ALLISTER ST,10515709407,,,BIG BELLY,,,,,2014/12/01 12:00:00 AM,,37.779690502,-122.423670736,c1da31cf-ae09-4383-b203-cca4bba13d10,2301,POINT (-122.423670736 37.779690502),Western Addition,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6101810,99 BEIDEMAN ST,10516101810,,,CEMENT / CONCRETE,,,,,2018/04/06 12:00:00 AM,,37.782474054,-122.438482817,579f5624-3cc8-4538-a3dc-d61e9289d073,2450,POINT (-122.438482817 37.782474054),Western Addition,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-2958486,1367 FUNSTON AVE,10512958486,,,CEMENT / CONCRETE,,,,,1995/12/20 12:00:00 AM,,37.762630988,-122.47055787,ec133160-b3bc-4720-8544-e3a2002ba37d,1848,POINT (-122.47055787 37.762630988),Inner Sunset,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-4130662,1782 22ND AVE,10514130662,,,RENAISSANCE / METAL,,,,,2003/09/01 12:00:00 AM,,37.754467592,-122.479690949,0a7f702c-495d-409f-8b45-a6c900835402,2045,POINT (-122.479690949 37.754467592),Sunset/Parkside,4,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5709415,2008 MISSION ST,10515709415,,,RENAISSANCE / METAL,,,,,2014/12/01 12:00:00 AM,,37.76484366,-122.419696877,8872616c-1fed-4668-b6b0-99caa1eefe69,2302,POINT (-122.419696877 37.76484366),Mission,9,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6101232,1799 TURK ST,10516101232,,,RENAISSANCE / METAL,,,,,2018/04/06 12:00:00 AM,,37.779655483,-122.438636443,6c180e15-d566-4ffb-bbac-808854387111,2433,POINT (-122.438636443 37.779655483),Western Addition,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6535348,1599 UPPER GREAT HWY,10516535348,,,RENAISSANCE / METAL,,,,,2021/10/20 12:00:00 AM,,37.758009355,-122.509110814,c224f084-f7c5-46ee-8057-af81533995c2,2689,POINT (-122.509110814 37.758009355),Sunset/Parkside,4,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-2337079,3997 24TH ST,10512337079,,,RENAISSANCE / METAL,,,,,1992/07/15 12:00:00 AM,,37.751427474,-122.431734829,b6e93625-50d5-45da-a54b-7041dcd787da,1775,POINT (-122.431734829 37.751427474),Noe Valley,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
